Timestamp,Sensor 2,Sensor 4,BBox X1,BBox Y1,BBox X2,BBox Y2,MV 1,MV 2,MV 3,MV 4,Left Eye X,Left Eye Y,Right Eye X,Right Eye Y,Nose X,Nose Y,Mouth Left X,Mouth Left Y,Mouth Right X,Mouth Right Y,FHP,Posture
1726004,nan,nan,nan,nan,nan,nan,635,635,659,605,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,pc65
1726014,634,689,nan,nan,nan,nan,687,687,694,686,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,pc65
1726024,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,pc65
1726504,nan,nan,nan,nan,nan,nan,635,635,659,621,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,pc65
1726514,638,687,nan,nan,nan,nan,687,687,694,679,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,pc65
1726524,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,pc65
1726854,nan,nan,105,91,152,160,nan,nan,nan,nan,117,116,141,117,128,130,119,143,137,144,nan,pc65
1727004,nan,nan,nan,nan,nan,nan,672,635,659,621,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,pc65
1727014,647,686,nan,nan,nan,nan,685,687,694,679,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,pc65
1727024,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,pc65
1727504,nan,nan,nan,nan,nan,nan,672,619,659,621,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,pc65
1727514,643,683,nan,nan,nan,nan,685,675,694,679,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,pc65
1727524,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,pc65
1727734,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,108,117,133,120,120,133,108,144,129,146,nan,pc65
1727974,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,103,111,134,113,117,131,104,147,129,149,nan,pc65
1728004,nan,nan,nan,nan,nan,nan,672,619,522,621,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,pc65
1728014,609,660,nan,nan,nan,nan,685,675,600,679,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,pc65
1728024,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,pc65
1728064,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,103,108,135,110,118,128,104,146,129,147,nan,pc65
1728134,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,103,107,136,109,118,126,105,145,130,147,nan,pc65
1728214,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,102,109,136,111,118,129,104,149,130,152,nan,pc65
1728294,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,102,114,137,116,120,135,106,154,132,156,nan,pc65
1728374,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,101,117,136,119,119,139,103,158,131,160,nan,pc65
