timestamp,local_time,sensor_2,sensor_4,bbox_x1,bbox_y1,bbox_x2,bbox_y2,mv_1,mv_2,mv_3,mv_4,left_eye_x,left_eye_y,right_eye_x,right_eye_y,nose_x,nose_y,mouth_left_x,mouth_left_y,mouth_right_x,mouth_right_y,fhp,prediction,notes,user_id,bad_posture_command,alarm_notification,notification_interval,feedback
854054,2024-08-08 20:41:37,,,,,,,506,506,513,509,,,,,,,,,,,,,,-1,no,no,,
854054,2024-08-08 20:41:37,,,,,,,506,506,513,509,,,,,,,,,,,,,,-1,no,no,,
854054,2024-08-08 20:41:37,,,,,,,506,506,513,509,,,,,,,,,,,,,,-1,no,no,,
854064,2024-08-08 20:41:37,,,,,,,551,545,547,552,,,,,,,,,,,,,,-1,no,no,,
854064,2024-08-08 20:41:37,,,,,,,551,545,547,552,,,,,,,,,,,,,,-1,no,no,,
854074,2024-08-08 20:41:37,509,549,,,,,,,,,,,,,,,,,,,,,,-1,no,no,,
854554,2024-08-08 20:41:37,,,,,,,506,506,513,514,,,,,,,,,,,,,,-1,no,no,,
854554,2024-08-08 20:41:37,,,,,,,506,506,513,514,,,,,,,,,,,,,,-1,no,no,,
854554,2024-08-08 20:41:37,,,,,,,506,506,513,514,,,,,,,,,,,,,,-1,no,no,,
854564,2024-08-08 20:41:37,,,,,,,551,545,547,540,,,,,,,,,,,,,,-1,no,no,,
854564,2024-08-08 20:41:37,,,,,,,551,545,547,540,,,,,,,,,,,,,,-1,no,no,,
854574,2024-08-08 20:41:37,510,546,,,,,,,,,,,,,,,,,,,,,,-1,no,no,,
855054,2024-08-08 20:41:38,,,,,,,512,506,513,514,,,,,,,,,,,,,,-1,no,no,,
855054,2024-08-08 20:41:38,,,,,,,512,506,513,514,,,,,,,,,,,,,,-1,no,no,,
855054,2024-08-08 20:41:38,,,,,,,512,506,513,514,,,,,,,,,,,,,,-1,no,no,,
855064,2024-08-08 20:41:38,,,,,,,548,545,547,540,,,,,,,,,,,,,,-1,no,no,,
855064,2024-08-08 20:41:38,,,,,,,548,545,547,540,,,,,,,,,,,,,,-1,no,no,,
855074,2024-08-08 20:41:38,511,545,,,,,,,,,,,,,,,,,,,,,,-1,no,no,,
855554,2024-08-08 20:41:38,,,,,,,512,516,513,514,,,,,,,,,,,,,,-1,no,no,,
855554,2024-08-08 20:41:38,,,,,,,512,516,513,514,,,,,,,,,,,,,,-1,no,no,,
855554,2024-08-08 20:41:38,,,,,,,512,516,513,514,,,,,,,,,,,,,,-1,no,no,,
855564,2024-08-08 20:41:38,,,,,,,548,545,547,540,,,,,,,,,,,,,,-1,no,no,,
855564,2024-08-08 20:41:38,,,,,,,548,545,547,540,,,,,,,,,,,,,,-1,no,no,,
855574,2024-08-08 20:41:38,514,545,,,,,,,,,,,,,,,,,,,,,,-1,no,no,,
856054,2024-08-08 20:41:39,,,,,,,512,516,511,514,,,,,,,,,,,,,,-1,no,no,,
856054,2024-08-08 20:41:39,,,,,,,512,516,511,514,,,,,,,,,,,,,,-1,no,no,,
856054,2024-08-08 20:41:39,,,,,,,512,516,511,514,,,,,,,,,,,,,,-1,no,no,,
856064,2024-08-08 20:41:39,,,,,,,548,545,552,540,,,,,,,,,,,,,,-1,no,no,,
856064,2024-08-08 20:41:39,,,,,,,548,545,552,540,,,,,,,,,,,,,,-1,no,no,,
856074,2024-08-08 20:41:39,513,546,,,,,,,,,,,,,,,,,,,,,,-1,no,no,,
856554,2024-08-08 20:41:39,,,,,,,512,516,511,510,,,,,,,,,,,,,,-1,no,no,,
856554,2024-08-08 20:41:39,,,,,,,512,516,511,510,,,,,,,,,,,,,,-1,no,no,,
856554,2024-08-08 20:41:39,,,,,,,512,516,511,510,,,,,,,,,,,,,,-1,no,no,,
856564,2024-08-08 20:41:39,,,,,,,548,545,552,552,,,,,,,,,,,,,,-1,no,no,,
856564,2024-08-08 20:41:39,,,,,,,548,545,552,552,,,,,,,,,,,,,,-1,no,no,,
856574,2024-08-08 20:41:39,512,549,,,,,,,,,,,,,,,,,,,,,,-1,no,no,,
857054,2024-08-08 20:41:40,,,,,,,512,516,511,510,,,,,,,,,,,,,,-1,no,no,,
857054,2024-08-08 20:41:40,,,,,,,512,516,511,510,,,,,,,,,,,,,,-1,no,no,,
857054,2024-08-08 20:41:40,,,,,,,512,516,511,510,,,,,,,,,,,,,,-1,no,no,,
857064,2024-08-08 20:41:40,,,,,,,545,545,552,552,,,,,,,,,,,,,,-1,no,no,,
857064,2024-08-08 20:41:40,,,,,,,545,545,552,552,,,,,,,,,,,,,,-1,no,no,,
857074,2024-08-08 20:41:40,512,549,,,,,,,,,,,,,,,,,,,,,,-1,no,no,,
857554,2024-08-08 20:41:40,,,,,,,512,514,511,510,,,,,,,,,,,,,,-1,no,no,,
857554,2024-08-08 20:41:40,,,,,,,512,514,511,510,,,,,,,,,,,,,,-1,no,no,,
857554,2024-08-08 20:41:40,,,,,,,512,514,511,510,,,,,,,,,,,,,,-1,no,no,,
857564,2024-08-08 20:41:40,,,,,,,545,546,552,552,,,,,,,,,,,,,,-1,no,no,,
857564,2024-08-08 20:41:40,,,,,,,545,546,552,552,,,,,,,,,,,,,,-1,no,no,,
857574,2024-08-08 20:41:40,512,549,,,,,,,,,,,,,,,,,,,,,,-1,no,no,,
858054,2024-08-08 20:41:41,,,,,,,512,514,506,510,,,,,,,,,,,,,,-1,no,no,,
858054,2024-08-08 20:41:41,,,,,,,512,514,506,510,,,,,,,,,,,,,,-1,no,no,,
