timestamp,local_time,sensor_2,sensor_4,bbox_x1,bbox_y1,bbox_x2,bbox_y2,mv_1,mv_2,mv_3,mv_4,left_eye_x,left_eye_y,right_eye_x,right_eye_y,nose_x,nose_y,mouth_left_x,mouth_left_y,mouth_right_x,mouth_right_y,fhp,prediction,notes,user_id,bad_posture_command,alarm_notification,notification_interval,feedback
8626097,2024-08-12 19:12:00,,,,,,,716.0,736.0,732.0,697.0,,,,,,,,,,,,,,-1,no,no,,
8626097,2024-08-12 19:12:00,,,,,,,716.0,736.0,732.0,697.0,,,,,,,,,,,,,,-1,no,no,,
8626097,2024-08-12 19:12:00,,,,,,,716.0,736.0,732.0,697.0,,,,,,,,,,,,,,-1,no,no,,
8626107,2024-08-12 19:12:00,,,,,,,774.0,773.0,779.0,778.0,,,,,,,,,,,,,,-1,no,no,,
8626107,2024-08-12 19:12:00,,,,,,,774.0,773.0,779.0,778.0,,,,,,,,,,,,,,-1,no,no,,
8626117,2024-08-12 19:12:00,720.0,776.0,,,,,,,,,,,,,,,,,,,,,,-1,no,no,,
8626597,2024-08-12 19:12:05,,,,,,,716.0,736.0,729.0,697.0,,,,,,,,,,,,,,2,no,no,,
8626597,2024-08-12 19:12:05,,,,,,,716.0,736.0,729.0,697.0,,,,,,,,,,,,,,2,no,no,,
8626597,2024-08-12 19:12:05,,,,,,,716.0,736.0,729.0,697.0,,,,,,,,,,,,,,2,no,no,,
8626607,2024-08-12 19:12:05,,,,,,,774.0,773.0,766.0,778.0,,,,,,,,,,,,,,2,no,no,,
8626607,2024-08-12 19:12:05,,,,,,,774.0,773.0,766.0,778.0,,,,,,,,,,,,,,2,no,no,,
8626617,2024-08-12 19:12:05,720.0,773.0,,,,,,,,,,,,,,,,,,,,1.0,,2,no,no,,
8627097,2024-08-12 19:12:05,,,,,,,716.0,736.0,729.0,721.0,,,,,,,,,,,,,,2,no,no,,
8627097,2024-08-12 19:12:05,,,,,,,716.0,736.0,729.0,721.0,,,,,,,,,,,,,,2,no,no,,
8627097,2024-08-12 19:12:05,,,,,,,716.0,736.0,729.0,721.0,,,,,,,,,,,,,,2,no,no,,
8627107,2024-08-12 19:12:05,,,,,,,774.0,773.0,766.0,780.0,,,,,,,,,,,,,,2,no,no,,
8627107,2024-08-12 19:12:05,,,,,,,774.0,773.0,766.0,780.0,,,,,,,,,,,,,,2,no,no,,
8627117,2024-08-12 19:12:05,726.0,773.0,,,,,,,,,,,,,,,,,,,,1.0,,2,no,no,,
8627597,2024-08-12 19:12:05,,,,,,,707.0,736.0,729.0,721.0,,,,,,,,,,,,,,2,no,no,,
8627597,2024-08-12 19:12:05,,,,,,,707.0,736.0,729.0,721.0,,,,,,,,,,,,,,2,no,no,,
