timestamp,local_time,sensor_2,sensor_4,bbox_x1,bbox_y1,bbox_x2,bbox_y2,mv_1,mv_2,mv_3,mv_4,left_eye_x,left_eye_y,right_eye_x,right_eye_y,nose_x,nose_y,mouth_left_x,mouth_left_y,mouth_right_x,mouth_right_y,fhp,prediction,notes,user_id,bad_posture_command,alarm_notification,notification_interval,feedback,model_threshold,model_notes
2827994,2024-08-27 15:15:44,,,,,,,379,336,396,384,,,,,,,,,,,,,,2,no,no,,,,
2827994,2024-08-27 15:15:44,,,,,,,379,336,396,384,,,,,,,,,,,,,,2,no,no,,,,
2828004,2024-08-27 15:15:45,,,,,,,578,596,575,570,,,,,,,,,,,,,,2,no,no,,,,
2828004,2024-08-27 15:15:45,,,,,,,578,596,575,570,,,,,,,,,,,,,,2,no,no,,,,
2828014,2024-08-27 15:15:45,374,580,,,,,,,,,,,,,,,,,,,,0,,2,no,no,,,,
2828084,2024-08-27 15:15:45,,,86,119,158,215,,,,,108,157,142,152,130,177,118,194,145,190,,,,2,no,no,,,,
2828084,2024-08-27 15:15:45,,,86,119,158,215,,,,,108,157,142,152,130,177,118,194,145,190,,,,2,no,no,,,,
2828404,2024-08-27 15:15:45,,,83,119,154,216,,,,,106,158,139,153,128,177,115,196,142,192,,,,2,no,no,,,,
2828404,2024-08-27 15:15:45,,,83,119,154,216,,,,,106,158,139,153,128,177,115,196,142,192,,,,2,no,no,,,,
2828484,2024-08-27 15:15:45,,,83,119,153,214,,,,,106,158,138,152,128,176,116,195,141,190,,,,2,no,no,,,,
2828484,2024-08-27 15:15:45,,,83,119,153,214,,,,,106,158,138,152,128,176,116,195,141,190,,,,2,no,no,,,,
2828494,2024-08-27 15:15:45,,,,,,,,,,,,,,,,,,,,,,,,2,no,no,,,,
2828504,2024-08-27 15:15:45,,,,,,,379,336,396,396,,,,,,,,,,,,,,2,no,no,,,,
2828504,2024-08-27 15:15:45,,,,,,,379,336,396,396,,,,,,,,,,,,,,2,no,no,,,,
2828514,2024-08-27 15:15:45,,,,,,,578,596,575,584,,,,,,,,,,,,,,2,no,no,,,,
2828514,2024-08-27 15:15:45,,,,,,,578,596,575,584,,,,,,,,,,,,,,2,no,no,,,,
2828524,2024-08-27 15:15:45,377,583,,,,,,,,,,,,,,,,,,,226,0,,2,no,no,,,,
2828524,2024-08-27 15:15:45,377,583,,,,,,,,,,,,,,,,,,,226,0,,2,no,no,,,,
2828574,2024-08-27 15:15:45,,,81,118,155,217,,,,,106,158,140,152,129,177,117,196,143,191,,,,2,no,no,,,,
2828574,2024-08-27 15:15:45,,,81,118,155,217,,,,,106,158,140,152,129,177,117,196,143,191,,,,2,no,no,,,,
2828594,2024-08-27 15:15:45,,,,,,,,,,,,,,,,,,,,,226,,,2,no,no,,,,
2828644,2024-08-27 15:15:45,,,82,118,155,216,,,,,106,158,140,151,129,176,117,196,143,191,,,,2,no,no,,,,
2828644,2024-08-27 15:15:45,,,82,118,155,216,,,,,106,158,140,151,129,176,117,196,143,191,,,,2,no,no,,,,
2828694,2024-08-27 15:15:45,,,,,,,,,,,,,,,,,,,,,226,,,2,no,no,,,,
2828724,2024-08-27 15:15:45,,,81,119,157,219,,,,,106,158,140,152,130,177,116,196,144,191,,,,2,no,no,,,,
2828724,2024-08-27 15:15:45,,,81,119,157,219,,,,,106,158,140,152,130,177,116,196,144,191,,,,2,no,no,,,,
2828794,2024-08-27 15:15:45,,,,,,,,,,,,,,,,,,,,,226,,,2,no,no,,,,
2828804,2024-08-27 15:15:45,,,82,119,155,216,,,,,106,158,140,152,129,176,116,196,143,190,,,,2,no,no,,,,
2828804,2024-08-27 15:15:45,,,82,119,155,216,,,,,106,158,140,152,129,176,116,196,143,190,,,,2,no,no,,,,
2828964,2024-08-27 15:15:45,,,81,117,157,215,,,,,107,158,140,151,130,176,118,196,144,190,,,,2,no,no,,,,
2828964,2024-08-27 15:15:45,,,81,117,157,215,,,,,107,158,140,151,130,176,118,196,144,190,,,,2,no,no,,,,
2828994,2024-08-27 15:15:45,,,,,,,398,336,396,396,,,,,,,,,,,,,,2,no,no,,,,
2828994,2024-08-27 15:15:45,,,,,,,398,336,396,396,,,,,,,,,,,,,,2,no,no,,,,
2828994,2024-08-27 15:15:45,,,,,,,398,336,396,396,,,,,,,,,,,,,,2,no,no,,,,
2829004,2024-08-27 15:15:45,,,,,,,592,596,575,584,,,,,,,,,,,,,,2,no,no,,,,
2829004,2024-08-27 15:15:45,,,,,,,592,596,575,584,,,,,,,,,,,,,,2,no,no,,,,
2829014,2024-08-27 15:15:45,382,587,,,,,,,,,,,,,,,,,,,225,0,,2,no,no,,,,
2829014,2024-08-27 15:15:45,382,587,,,,,,,,,,,,,,,,,,,225,0,,2,no,no,,,,
2829054,2024-08-27 15:15:45,,,82,117,156,216,,,,,107,157,141,151,129,177,117,196,144,191,,,,2,no,no,,,,
2829054,2024-08-27 15:15:45,,,82,117,156,216,,,,,107,157,141,151,129,177,117,196,144,191,,,,2,no,no,,,,
2829094,2024-08-27 15:15:45,,,,,,,,,,,,,,,,,,,,,225,,,2,no,no,,,,
2829124,2024-08-27 15:15:45,,,82,118,156,216,,,,,106,157,140,151,129,175,116,195,143,190,,,,2,no,no,,,,
2829124,2024-08-27 15:15:45,,,82,118,156,216,,,,,106,157,140,151,129,175,116,195,143,190,,,,2,no,no,,,,
2829194,2024-08-27 15:15:46,,,,,,,,,,,,,,,,,,,,,225,,,2,no,no,,,,
2829204,2024-08-27 15:15:46,,,83,118,157,216,,,,,107,158,140,151,129,176,118,196,144,190,,,,2,no,no,,,,
2829204,2024-08-27 15:15:46,,,83,118,157,216,,,,,107,158,140,151,129,176,118,196,144,190,,,,2,no,no,,,,
2829284,2024-08-27 15:15:46,,,82,119,155,215,,,,,106,157,140,152,128,176,116,196,142,191,,,,2,no,no,,,,
