timestamp,local_time,sensor_2,sensor_4,bbox_x1,bbox_y1,bbox_x2,bbox_y2,mv_1,mv_2,mv_3,mv_4,left_eye_x,left_eye_y,right_eye_x,right_eye_y,nose_x,nose_y,mouth_left_x,mouth_left_y,mouth_right_x,mouth_right_y,fhp,prediction,notes,user_id,alarm_notification,notification_interval,feedback,model_threshold,model_notes
13717168,2024-08-29 15:53:03,,,,,,,504.0,505.0,514.0,510.0,,,,,,,,,,,,,,-1,no,,,,
13717178,2024-08-29 15:53:03,,,,,,,637.0,638.0,642.0,642.0,,,,,,,,,,,,,,-1,no,,,,
13717188,2024-08-29 15:53:03,508.0,640.0,,,,,,,,,,,,,,,,,,,152.0,,,-1,no,,,,
13717198,2024-08-29 15:53:04,,,,,,,,,,,,,,,,,,,,,,,,-1,no,,,,
13717268,2024-08-29 15:53:04,,,,,,,,,,,,,,,,,,,,,,,,-1,no,,,,
13717368,2024-08-29 15:53:04,,,,,,,,,,,,,,,,,,,,,,,,-1,no,,,,
13717388,2024-08-29 15:53:04,,,86.0,109.0,159.0,212.0,,,,,106.0,145.0,142.0,146.0,122.0,169.0,109.0,185.0,137.0,187.0,,,,-1,no,,,,
13717468,2024-08-29 15:53:04,,,,,,,,,,,,,,,,,,,,,,,,-1,no,,,,
13717478,2024-08-29 15:53:04,,,,,,,,,,,,,,,,,,,,,,,,-1,no,,,,
13717628,2024-08-29 15:53:04,,,85.0,108.0,160.0,214.0,,,,,106.0,145.0,144.0,147.0,123.0,170.0,108.0,186.0,138.0,189.0,,,,-1,no,,,62.5,Thresholds changed from nan to 62.5 at 13717628 local time.
13717668,2024-08-29 15:53:11,,,,,,,504.0,505.0,505.0,510.0,,,,,,,,,,,,,,2,no,,,62.5,
13717678,2024-08-29 15:53:11,,,,,,,637.0,638.0,640.0,642.0,,,,,,,,,,,,,,2,no,,,62.5,
13717688,2024-08-29 15:53:11,506.0,639.0,,,,,,,,,,,,,,,,,,,153.0,0.0,,2,no,,,62.5,
13717718,2024-08-29 15:53:11,,,86.0,106.0,164.0,215.0,,,,,107.0,146.0,144.0,147.0,124.0,170.0,110.0,187.0,139.0,188.0,,,,2,no,,,62.5,
13717768,2024-08-29 15:53:11,,,,,,,,,,,,,,,,,,,,,153.0,,,2,no,,,62.5,
13717788,2024-08-29 15:53:11,,,87.0,108.0,162.0,213.0,,,,,107.0,144.0,144.0,146.0,124.0,168.0,109.0,183.0,139.0,185.0,,,,2,no,,,62.5,
13717868,2024-08-29 15:53:11,,,88.0,107.0,162.0,211.0,,,,,109.0,142.0,146.0,144.0,126.0,167.0,112.0,183.0,140.0,185.0,153.0,,,2,no,,,62.5,
13717948,2024-08-29 15:53:11,,,90.0,103.0,164.0,211.0,,,,,111.0,142.0,147.0,143.0,128.0,165.0,114.0,182.0,142.0,184.0,,,,2,no,,,62.5,
13717968,2024-08-29 15:53:11,,,,,,,,,,,,,,,,,,,,,153.0,,,2,no,,,62.5,
13718028,2024-08-29 15:53:11,,,91.0,101.0,166.0,211.0,,,,,113.0,139.0,149.0,142.0,131.0,163.0,116.0,180.0,145.0,182.0,,,,2,no,,,62.5,
13718068,2024-08-29 15:53:11,,,,,,,,,,,,,,,,,,,,,153.0,,,2,no,,,62.5,
13718108,2024-08-29 15:53:11,,,91.0,100.0,166.0,209.0,,,,,114.0,138.0,150.0,140.0,133.0,161.0,117.0,178.0,146.0,179.0,,,,2,no,,,62.5,
13718168,2024-08-29 15:53:11,,,,,,,504.0,505.0,505.0,514.0,,,,,,,,,,,,,,2,no,,,62.5,
13718178,2024-08-29 15:53:12,,,,,,,637.0,638.0,640.0,639.0,,,,,,,,,,,,,,2,no,,,62.5,
13718188,2024-08-29 15:53:12,507.0,639.0,91.0,98.0,167.0,208.0,,,,,,,,,,,,,,,152.0,0.0,,2,no,,,62.5,
13718198,2024-08-29 15:53:12,,,,,,,,,,,116.0,138.0,151.0,138.0,135.0,160.0,119.0,178.0,147.0,179.0,,,,2,no,,,62.5,
13718268,2024-08-29 15:53:12,,,92.0,97.0,168.0,207.0,,,,,116.0,136.0,151.0,137.0,135.0,159.0,120.0,176.0,147.0,176.0,152.0,,,2,no,,,62.5,
13718368,2024-08-29 15:53:12,,,,,,,,,,,,,,,,,,,,,152.0,,,2,no,,,62.5,
13718428,2024-08-29 15:53:12,,,92.0,97.0,169.0,208.0,,,,,116.0,136.0,153.0,137.0,136.0,160.0,119.0,178.0,148.0,179.0,,,,2,no,,,62.5,
13718468,2024-08-29 15:53:12,,,,,,,,,,,,,,,,,,,,,152.0,,,2,no,,,62.5,
13718508,2024-08-29 15:53:12,,,91.0,98.0,168.0,207.0,,,,,116.0,136.0,151.0,136.0,135.0,159.0,119.0,177.0,148.0,178.0,,,,2,no,,,62.5,
13718568,2024-08-29 15:53:12,,,,,,,,,,,,,,,,,,,,,152.0,,,2,no,,,62.5,
13718588,2024-08-29 15:53:12,,,92.0,97.0,168.0,208.0,,,,,116.0,135.0,152.0,136.0,135.0,159.0,120.0,177.0,148.0,178.0,,,,2,no,,,62.5,
13718668,2024-08-29 15:53:12,,,92.0,96.0,169.0,208.0,520.0,505.0,505.0,514.0,117.0,136.0,153.0,137.0,136.0,160.0,119.0,178.0,149.0,179.0,,,,2,no,,,62.5,
13718688,2024-08-29 15:53:12,,,,,,,,,,,,,,,,,,,,,,,,2,no,,,62.5,
13718698,2024-08-29 15:53:12,,,,,,,643.0,638.0,640.0,639.0,,,,,,,,,,,,,,2,no,,,62.5,
13718708,2024-08-29 15:53:12,511.0,640.0,,,,,,,,,,,,,,,,,,,149.0,0.0,,2,no,,,62.5,
13718748,2024-08-29 15:53:12,,,92.0,96.0,169.0,207.0,,,,,,,,,,,,,,,,,,2,no,,,62.5,
13718758,2024-08-29 15:53:12,,,,,,,,,,,116.0,136.0,152.0,137.0,136.0,160.0,119.0,178.0,149.0,179.0,,,,2,no,,,62.5,
13718768,2024-08-29 15:53:12,,,,,,,,,,,,,,,,,,,,,149.0,,,2,no,,,62.5,
13718828,2024-08-29 15:53:12,,,93.0,97.0,168.0,204.0,,,,,117.0,136.0,153.0,136.0,138.0,159.0,122.0,177.0,150.0,177.0,,,,2,no,,,62.5,
13718868,2024-08-29 15:53:12,,,,,,,,,,,,,,,,,,,,,149.0,,,2,no,,,62.5,
13718908,2024-08-29 15:53:12,,,93.0,96.0,169.0,205.0,,,,,118.0,135.0,153.0,136.0,138.0,158.0,123.0,177.0,151.0,177.0,,,,2,no,,,62.5,
13718968,2024-08-29 15:53:12,,,,,,,,,,,,,,,,,,,,,149.0,,,2,no,,,62.5,
13718988,2024-08-29 15:53:12,,,92.0,96.0,172.0,205.0,,,,,116.0,138.0,153.0,138.0,136.0,162.0,121.0,179.0,151.0,179.0,,,,2,no,,,62.5,
13719068,2024-08-29 15:53:13,,,95.0,103.0,168.0,203.0,,,,,115.0,141.0,151.0,141.0,134.0,164.0,119.0,179.0,149.0,179.0,149.0,,,2,no,,,62.5,
13719148,2024-08-29 15:53:13,,,94.0,106.0,166.0,204.0,,,,,113.0,144.0,149.0,143.0,131.0,167.0,117.0,181.0,147.0,180.0,,,,2,no,,,62.5,
13719168,2024-08-29 15:53:13,,,,,,,520.0,523.0,505.0,514.0,,,,,,,,,,,,,,2,no,,,62.5,
13719178,2024-08-29 15:53:13,,,,,,,643.0,665.0,640.0,639.0,,,,,,,,,,,,,,2,no,,,62.5,
13719188,2024-08-29 15:53:13,516.0,647.0,,,,,,,,,,,,,,,,,,,151.0,0.0,,2,no,,,62.5,
13719228,2024-08-29 15:53:13,,,95.0,110.0,166.0,205.0,,,,,,,,,,,,,,,,,,2,no,,,62.5,
13719238,2024-08-29 15:53:13,,,,,,,,,,,113.0,146.0,148.0,145.0,130.0,170.0,117.0,182.0,147.0,181.0,,,,2,no,,,62.5,
13719268,2024-08-29 15:53:13,,,,,,,,,,,,,,,,,,,,,151.0,,,2,no,,,62.5,
13719308,2024-08-29 15:53:13,,,94.0,110.0,167.0,205.0,,,,,113.0,146.0,149.0,146.0,131.0,170.0,119.0,182.0,147.0,182.0,,,,2,no,,,62.5,
13719368,2024-08-29 15:53:13,,,,,,,,,,,,,,,,,,,,,151.0,,,2,no,,,62.5,
13719388,2024-08-29 15:53:13,,,95.0,110.0,168.0,204.0,,,,,114.0,146.0,150.0,145.0,132.0,169.0,119.0,182.0,149.0,181.0,,,,2,no,,,62.5,
13719468,2024-08-29 15:53:13,,,97.0,108.0,168.0,203.0,,,,,116.0,145.0,151.0,144.0,134.0,167.0,121.0,179.0,149.0,179.0,151.0,,,2,no,,,62.5,
13719548,2024-08-29 15:53:13,,,99.0,109.0,170.0,203.0,,,,,118.0,146.0,152.0,145.0,135.0,168.0,123.0,181.0,150.0,181.0,,,,2,no,,,62.5,
13719568,2024-08-29 15:53:13,,,,,,,,,,,,,,,,,,,,,151.0,,,2,no,,,62.5,
13719628,2024-08-29 15:53:13,,,99.0,110.0,171.0,205.0,,,,,119.0,147.0,153.0,145.0,137.0,168.0,125.0,181.0,152.0,181.0,,,,2,no,,,62.5,
13719668,2024-08-29 15:53:13,,,,,,,520.0,523.0,516.0,514.0,,,,,,,,,,,,,,2,no,,,62.5,
13719678,2024-08-29 15:53:13,,,,,,,643.0,665.0,670.0,639.0,,,,,,,,,,,,,,2,no,,,62.5,
13719688,2024-08-29 15:53:13,518.0,654.0,,,,,,,,,,,,,,,,,,,156.0,0.0,,2,no,,,62.5,
13719708,2024-08-29 15:53:13,,,100.0,111.0,172.0,206.0,,,,,119.0,147.0,153.0,147.0,136.0,169.0,123.0,182.0,152.0,182.0,,,,2,no,,,62.5,
13719768,2024-08-29 15:53:13,,,,,,,,,,,,,,,,,,,,,156.0,,,2,no,,,62.5,
13719788,2024-08-29 15:53:13,,,99.0,109.0,172.0,206.0,,,,,119.0,147.0,153.0,147.0,136.0,169.0,124.0,182.0,152.0,182.0,,,,2,no,,,62.5,
13719868,2024-08-29 15:53:13,,,99.0,109.0,173.0,207.0,,,,,118.0,147.0,154.0,146.0,136.0,170.0,123.0,183.0,153.0,182.0,156.0,,,2,no,,,62.5,
13719948,2024-08-29 15:53:14,,,99.0,110.0,173.0,207.0,,,,,119.0,147.0,154.0,147.0,136.0,170.0,124.0,183.0,152.0,183.0,,,,2,no,,,62.5,
13719968,2024-08-29 15:53:14,,,,,,,,,,,,,,,,,,,,,156.0,,,2,no,,,62.5,
13720028,2024-08-29 15:53:14,,,101.0,108.0,172.0,204.0,,,,,120.0,144.0,154.0,144.0,137.0,166.0,124.0,181.0,152.0,180.0,,,,2,no,,,62.5,
13720068,2024-08-29 15:53:14,,,,,,,,,,,,,,,,,,,,,156.0,,,2,no,,,62.5,
13720108,2024-08-29 15:53:14,,,102.0,105.0,175.0,204.0,,,,,121.0,143.0,155.0,143.0,138.0,165.0,124.0,179.0,153.0,179.0,,,,2,no,,,62.5,
13720168,2024-08-29 15:53:14,,,,,,,520.0,523.0,516.0,517.0,,,,,,,,,,,,,,2,no,,,62.5,
13720178,2024-08-29 15:53:14,,,,,,,643.0,665.0,670.0,658.0,,,,,,,,,,,,,,2,no,,,62.5,
13720188,2024-08-29 15:53:14,519.0,659.0,100.0,101.0,177.0,207.0,,,,,,,,,,,,,,,160.0,0.0,,2,no,,,62.5,
13720198,2024-08-29 15:53:14,,,,,,,,,,,122.0,141.0,158.0,142.0,141.0,163.0,127.0,178.0,156.0,179.0,,,,2,no,,,62.5,
13720268,2024-08-29 15:53:14,,,102.0,101.0,177.0,205.0,,,,,126.0,140.0,160.0,141.0,144.0,163.0,129.0,178.0,156.0,179.0,160.0,,,2,no,,,62.5,
13720368,2024-08-29 15:53:14,,,,,,,,,,,,,,,,,,,,,160.0,,,2,no,,,62.5,
13720428,2024-08-29 15:53:14,,,105.0,97.0,181.0,202.0,,,,,129.0,137.0,165.0,138.0,149.0,161.0,133.0,178.0,162.0,178.0,,,,2,no,,,62.5,
13720468,2024-08-29 15:53:14,,,,,,,,,,,,,,,,,,,,,160.0,,,2,no,,,62.5,
13720508,2024-08-29 15:53:14,,,105.0,96.0,181.0,199.0,,,,,,,,,,,,,,,,,,2,no,,,62.5,
