timestamp,local_time,sensor_2,sensor_4,bbox_x1,bbox_y1,bbox_x2,bbox_y2,mv_1,mv_2,mv_3,mv_4,left_eye_x,left_eye_y,right_eye_x,right_eye_y,nose_x,nose_y,mouth_left_x,mouth_left_y,mouth_right_x,mouth_right_y,fhp,prediction,notes,user_id,alarm_notification,notification_interval,feedback,model_threshold,model_notes
14208148,2024-08-29 16:01:30,,,80,123,157,228,,,,,100,161,138,163,118,186,102,202,133,204,,,,2,no,,,,
14208168,2024-08-29 16:01:30,,,,,,,481,475,479,482,,,,,,,,,,,,,,2,no,,,,
14208168,2024-08-29 16:01:30,,,,,,,481,475,479,482,,,,,,,,,,,,,,2,no,,,,
14208178,2024-08-29 16:01:30,,,,,,,582,574,580,580,,,,,,,,,,,,,,2,no,,,,
14208178,2024-08-29 16:01:30,,,,,,,582,574,580,580,,,,,,,,,,,,,,2,no,,,,
14208178,2024-08-29 16:01:30,,,,,,,582,574,580,580,,,,,,,,,,,,,,2,no,,,,
14208188,2024-08-29 16:01:30,479,579,,,,,,,,,,,,,,,,,,,,0,,2,no,,,,
14208198,2024-08-29 16:01:30,,,,,,,,,,,,,,,,,,,,,120,,,2,no,,,,
14208238,2024-08-29 16:01:30,,,81,123,159,228,,,,,101,161,138,163,117,185,103,201,133,204,,,,2,no,,,,
14208238,2024-08-29 16:01:30,,,81,123,159,228,,,,,101,161,138,163,117,185,103,201,133,204,,,,2,no,,,,
14208268,2024-08-29 16:01:30,,,,,,,,,,,,,,,,,,,,,120,,,2,no,,,,
14208308,2024-08-29 16:01:30,,,79,121,160,231,,,,,100,160,138,162,117,184,102,201,133,203,,,,2,no,,,,
14208308,2024-08-29 16:01:30,,,79,121,160,231,,,,,100,160,138,162,117,184,102,201,133,203,,,,2,no,,,,
14208368,2024-08-29 16:01:30,,,,,,,,,,,,,,,,,,,,,120,,,2,no,,,,
14208388,2024-08-29 16:01:30,,,80,120,161,229,,,,,,,,,,,,,,,,,,2,no,,,,
14208398,2024-08-29 16:01:30,,,,,,,,,,,101,160,138,162,117,183,103,199,133,202,,,,2,no,,,,
14208468,2024-08-29 16:01:30,,,81,121,160,226,,,,,,,,,,,,,,,120,,,2,no,,,,
14208468,2024-08-29 16:01:30,,,81,121,160,226,,,,,,,,,,,,,,,120,,,2,no,,,,
14208478,2024-08-29 16:01:30,,,,,,,,,,,100,160,138,161,116,184,104,201,133,202,,,,2,no,,,,
14208548,2024-08-29 16:01:30,,,79,120,159,227,,,,,100,160,138,162,117,184,102,201,133,203,,,,2,no,,,,
14208548,2024-08-29 16:01:30,,,79,120,159,227,,,,,100,160,138,162,117,184,102,201,133,203,,,,2,no,,,,
