update_graph() using 'Time' x-axis,update_graph() using 'Num Data' x-axis,update_graph() with new Theme yaru,default_update()
00:00:00:055,00:00:00:088,00:00:00:124,00:00:00:001
00:00:00:059,00:00:00:050,00:00:00:531,00:00:00:001
00:00:00:049,00:00:00:059,00:00:00:089,00:00:00:001
00:00:00:053,00:00:00:051,00:00:00:081,00:00:00:001
00:00:00:052,00:00:00:061,00:00:00:084,00:00:00:002
00:00:00:052,00:00:00:053,00:00:00:095,00:00:00:001
00:00:00:055,00:00:00:052,00:00:00:111,00:00:00:001
00:00:00:054,00:00:00:057,00:00:00:068,00:00:00:001
00:00:00:065,00:00:00:057,00:00:00:080,00:00:00:001
00:00:00:061,00:00:00:056,00:00:00:086,00:00:00:002
00:00:00:064,00:00:00:054,00:00:00:079,00:00:00:002
00:00:00:067,00:00:00:056,00:00:00:082,00:00:00:001
00:00:00:068,00:00:00:055,00:00:00:084,00:00:00:001
00:00:00:068,00:00:00:058,00:00:00:082,00:00:00:001
00:00:00:073,00:00:00:060,00:00:00:162,00:00:00:001
00:00:00:072,00:00:00:059,00:00:00:089,00:00:00:001
00:00:00:072,00:00:00:062,00:00:00:067,00:00:00:001
00:00:00:076,00:00:00:060,00:00:00:089,00:00:00:002
00:00:00:072,00:00:00:058,00:00:00:082,00:00:00:001
00:00:00:077,00:00:00:060,00:00:00:088,00:00:00:001
00:00:00:084,00:00:00:060,00:00:00:084,00:00:00:001
00:00:00:095,00:00:00:058,00:00:00:087,00:00:00:002
00:00:00:091,00:00:00:062,00:00:00:088,00:00:00:001
00:00:00:166,00:00:00:056,00:00:00:082,00:00:00:001
00:00:00:089,00:00:00:054,00:00:00:060,00:00:00:001
00:00:00:087,00:00:00:061,00:00:00:067,00:00:00:002
00:00:00:096,00:00:00:057,00:00:00:077,00:00:00:001
00:00:00:092,00:00:00:055,00:00:00:118,00:00:00:001
00:00:00:092,00:00:00:061,00:00:00:078,00:00:00:001
00:00:00:090,00:00:00:060,00:00:00:079,00:00:00:001
00:00:00:097,00:00:00:058,00:00:00:084,00:00:00:001
00:00:00:096,00:00:00:063,00:00:00:079,00:00:00:002
00:00:00:100,00:00:00:061,00:00:00:089,00:00:00:001
00:00:00:100,00:00:00:059,00:00:00:081,00:00:00:002
00:00:00:105,00:00:00:064,00:00:00:086,00:00:00:001
00:00:00:104,00:00:00:063,00:00:00:079,00:00:00:002
00:00:00:112,00:00:00:063,00:00:00:092,00:00:00:002
00:00:00:103,00:00:00:071,00:00:00:085,00:00:00:001
00:00:00:106,00:00:00:063,00:00:00:087,00:00:00:001
00:00:00:109,00:00:00:063,00:00:00:085,00:00:00:001
00:00:00:123,00:00:00:138,00:00:00:089,00:00:00:001
00:00:00:119,00:00:00:064,00:00:00:087,00:00:00:001
